候選 3367，已判 40，本次 3327
批 1：回 40/40，連 37｜usage {'input_tokens': 12104, 'output_tokens': 1685, 'service_tier': 'standard'}
批 2：回 40/40，連 38｜usage {'input_tokens': 12234, 'output_tokens': 1577, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 21：回 40/40，連 31｜usage {'input_tokens': 11467, 'output_tokens': 1480, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 22：回 40/40，連 17｜usage {'input_tokens': 11126, 'output_tokens': 1003, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 23：回 40/40，連 26｜usage {'input_tokens': 11851, 'output_tokens': 1521, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 24：回 40/40，連 31｜usage {'input_tokens': 10651, 'output_tokens': 1327, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 25：回 40/40，連 26｜usage {'input_tokens': 11282, 'output_tokens': 1273, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 26：回 40/40，連 24｜usage {'input_tokens': 11320, 'output_tokens': 1370, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 27：回 40/40，連 35｜usage {'input_tokens': 11308, 'output_tokens': 1805, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 28：回 40/40，連 23｜usage {'input_tokens': 11373, 'output_tokens': 1203, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 29：回 40/40，連 32｜usage {'input_tokens': 11415, 'output_tokens': 1602, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 30：回 40/40，連 35｜usage {'input_tokens': 11306, 'output_tokens': 1642, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 31：回 40/40，連 33｜usage {'input_tokens': 11147, 'output_tokens': 1794, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 32：回 40/40，連 29｜usage {'input_tokens': 10607, 'output_tokens': 1402, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 33：回 40/40，連 28｜usage {'input_tokens': 11337, 'output_tokens': 1348, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 34：回 40/40，連 34｜usage {'input_tokens': 11418, 'output_tokens': 1511, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 35：回 40/40，連 27｜usage {'input_tokens': 10845, 'output_tokens': 1521, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 36：回 40/40，連 35｜usage {'input_tokens': 11028, 'output_tokens': 1686, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 37：回 40/40，連 23｜usage {'input_tokens': 11397, 'output_tokens': 1216, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 38：回 40/40，連 24｜usage {'input_tokens': 10681, 'output_tokens': 1288, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 39：回 40/40，連 31｜usage {'input_tokens': 11282, 'output_tokens': 1779, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 40：回 40/40，連 18｜usage {'input_tokens': 11448, 'output_tokens': 1013, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 41：回 40/40，連 25｜usage {'input_tokens': 11011, 'output_tokens': 1453, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 42：回 40/40，連 32｜usage {'input_tokens': 11170, 'output_tokens': 1324, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 43：回 40/40，連 26｜usage {'input_tokens': 11712, 'output_tokens': 1819, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 44：回 40/40，連 22｜usage {'input_tokens': 10115, 'output_tokens': 1387, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 45：回 40/40，連 27｜usage {'input_tokens': 11404, 'output_tokens': 1346, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 46：回 40/40，連 19｜usage {'input_tokens': 11129, 'output_tokens': 1024, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 47：回 40/40，連 26｜usage {'input_tokens': 11532, 'output_tokens': 1537, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 48：回 40/40，連 29｜usage {'input_tokens': 11211, 'output_tokens': 1696, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 49：回 40/40，連 26｜usage {'input_tokens': 11378, 'output_tokens': 1353, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 50：回 40/40，連 29｜usage {'input_tokens': 10728, 'output_tokens': 1405, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 640, 'service_tier': 'standard'}
批 51：回 40/40，連 28｜usage {'input_tokens': 10596, 'output_tokens': 1415, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 52：回 40/40，連 36｜usage {'input_tokens': 11043, 'output_tokens': 1670, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 53：回 40/40，連 26｜usage {'input_tokens': 10222, 'output_tokens': 1458, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 54：回 40/40，連 26｜usage {'input_tokens': 10091, 'output_tokens': 1496, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 654, 'service_tier': 'standard'}
批 55：回 40/40，連 20｜usage {'input_tokens': 11172, 'output_tokens': 1172, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 56：回 40/40，連 24｜usage {'input_tokens': 10649, 'output_tokens': 1242, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 57：回 40/40，連 26｜usage {'input_tokens': 10309, 'output_tokens': 1359, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 640, 'service_tier': 'standard'}
批 58：回 40/40，連 28｜usage {'input_tokens': 10841, 'output_tokens': 1290, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 654, 'service_tier': 'standard'}
批 59：回 40/40，連 27｜usage {'input_tokens': 10984, 'output_tokens': 1357, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 60：回 40/40，連 32｜usage {'input_tokens': 11442, 'output_tokens': 1681, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 61：回 40/40，連 26｜usage {'input_tokens': 10507, 'output_tokens': 1319, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 62：回 40/40，連 35｜usage {'input_tokens': 11093, 'output_tokens': 1818, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 63：回 40/40，連 28｜usage {'input_tokens': 10910, 'output_tokens': 1604, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 64：回 40/40，連 32｜usage {'input_tokens': 10744, 'output_tokens': 1421, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 65：回 40/40，連 25｜usage {'input_tokens': 11247, 'output_tokens': 1389, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 66：回 40/40，連 28｜usage {'input_tokens': 11193, 'output_tokens': 1602, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 67：回 40/40，連 14｜usage {'input_tokens': 9865, 'output_tokens': 1036, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 640, 'service_tier': 'standard'}
批 68：回 40/40，連 32｜usage {'input_tokens': 10877, 'output_tokens': 1851, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 69：回 40/40，連 28｜usage {'input_tokens': 10834, 'output_tokens': 1321, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 70：回 40/40，連 22｜usage {'input_tokens': 10616, 'output_tokens': 1194, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 71：回 40/40，連 21｜usage {'input_tokens': 10022, 'output_tokens': 1136, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 72：回 40/40，連 23｜usage {'input_tokens': 10428, 'output_tokens': 1309, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 147, 'service_tier': 'standard'}
批 73：回 40/40，連 17｜usage {'input_tokens': 10647, 'output_tokens': 1124, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 74：回 40/40，連 23｜usage {'input_tokens': 10527, 'output_tokens': 1355, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 75：回 40/40，連 24｜usage {'input_tokens': 11088, 'output_tokens': 1255, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 76：回 40/40，連 12｜usage {'input_tokens': 10643, 'output_tokens': 902, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 77：回 40/40，連 32｜usage {'input_tokens': 10225, 'output_tokens': 1685, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 640, 'service_tier': 'standard'}
批 78：回 40/40，連 22｜usage {'input_tokens': 10266, 'output_tokens': 1310, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 653, 'service_tier': 'standard'}
批 79：回 40/40，連 18｜usage {'input_tokens': 9843, 'output_tokens': 1153, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 80：回 40/40，連 26｜usage {'input_tokens': 10580, 'output_tokens': 1401, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 81：回 40/40，連 19｜usage {'input_tokens': 10692, 'output_tokens': 1026, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 82：回 40/40，連 17｜usage {'input_tokens': 9692, 'output_tokens': 1056, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 512, 'service_tier': 'standard'}
批 83：回 39/40，連 14｜usage {'input_tokens': 10378, 'output_tokens': 905, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
批 84：回 7/7，連 5｜usage {'input_tokens': 2546, 'output_tokens': 247, 'cache_creation_input_tokens': 0, 'cache_read_input_tokens': 128, 'service_tier': 'standard'}
